Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Mikko Koivu,37,C,MIN,12.24,1.72,1.59,12.24,1.72,1.59,15.55,7,17,24,8,23,32,28,436,387,13,30,83,-11,-33,369,,108.4
Ian Cole,31,D,COL,15.15,0,2.69,15.15,0,2.69,17.84,3,13,16,0,75,108,45,0,0,32,23,71,63,119,263,,108.4
Bryan Little,33,"C,RW",WPG,12.98,1.25,1.14,12.98,1.25,1.14,15.36,9,16,25,3,36,20,18,383,321,14,23,81,-32,-34,371,,108.2
Kyle Turris,31,C,NSH,12.31,2.16,0,12.31,2.16,0,14.46,7,19,26,9,15,17,21,236,242,26,18,79,-38,-60,400,,107.6
Zach Aston-Reese,26,"LW,RW",PIT,12.12,0.65,1.74,12.12,0.65,1.74,14.51,11,10,21,1,171,34,27,7,16,19,21,99,0,13,331,,107.4
Miles Wood,25,LW,NJ,12.32,0.9,0,12.32,0.9,0,13.23,11,10,21,1,79,21,56,1,2,23,14,125,23,36,309,,107.4
Brent Seabrook,35,D,CHI,15.43,1.43,2.13,15.43,1.43,2.13,18.99,4,10,14,5,84,112,19,0,0,35,25,83,76,132,257,,107.4
Bobby Ryan,33,"LW,RW",OTT,10.88,2.36,0,10.88,2.36,0,13.24,10,12,22,4,80,31,49,7,7,31,27,93,-12,1,339,,107
Artturi Lehkonen,25,"LW,RW",MON,12.89,0,2.49,12.89,0,2.49,15.38,10,11,21,0,84,27,20,7,12,17,26,116,16,29,319,,107
Travis Hamonic,30,D,CGY,17.57,0,2.98,17.57,0,2.98,20.54,3,10,13,0,47,119,35,0,0,39,28,87,88,144,249,,107
Radek Faksa,27,C,DAL,12.98,1.28,1.55,12.98,1.28,1.55,15.81,11,10,21,3,69,38,36,361,356,20,27,88,-15,-37,374,,106.8
Dmitry Orlov,29,D,WSH,19.51,1.19,1.08,19.51,1.19,1.08,21.78,3,17,20,2,87,67,27,0,0,38,31,85,28,83,283,,106.8
MacKenzie Weegar,27,D,FLA,17.54,0,1.75,17.54,0,1.75,19.3,5,11,16,0,108,92,44,0,0,36,26,85,51,107,268,,106.8
Jesperi Kotkaniemi,20,C,MON,12,2.07,0,12,2.07,0,14.07,10,12,22,4,72,27,38,227,288,37,23,99,-11,-33,369,,106.6
Patrick Marleau,41,"C,LW,RW",PIT,13.66,1.35,0,13.66,1.35,0,15,12,10,22,3,48,21,12,52,45,14,21,101,-18,-5,345,,106.6
Zack Kassian,30,RW,EDM,14.58,0.48,1.37,14.58,0.48,1.37,16.43,11,13,24,0,145,13,63,1,5,41,27,91,-40,-43,382,,106.4
Justin Schultz,30,D,PIT,16.9,2.34,0,16.9,2.34,0,19.24,3,16,19,8,42,67,7,0,0,32,25,98,44,99,273,,106.4
Sonny Milano,24,LW,ANA,11.83,1.35,0,11.83,1.35,0,13.17,10,15,25,3,28,13,24,0,1,26,21,80,-56,-43,382,,106.2
Sam Steel,22,C,ANA,13.69,2.01,0,13.69,2.01,0,15.7,9,15,24,8,21,21,20,318,308,31,21,83,-42,-64,404,,106
Artem Anisimov,32,"C,LW",OTT,11.96,1.4,1.25,11.96,1.4,1.25,14.61,13,8,21,4,11,28,11,231,248,16,25,93,-29,-16,358,,105.8
Corey Perry,35,RW,DAL,11.42,1.95,0,11.42,1.95,0,13.37,9,14,23,7,48,27,63,2,6,23,16,85,-34,-37,374,,105.8
Justin Faulk,28,D,STL,18.1,1.39,1.33,18.1,1.39,1.33,20.82,5,12,17,4,81,66,29,0,0,39,29,117,62,118,264,,105.8
Calvin de Haan,29,D,CHI,16.83,0,2.64,16.83,0,2.64,19.47,2,12,14,0,148,115,15,0,0,34,25,78,64,120,262,,105.6
Kevin Stenlund,24,"C,RW",CBJ,12.21,1.93,0,12.21,1.93,0,14.14,10,10,20,8,34,39,11,95,134,16,11,99,-5,-8,347,,105.4
Vladislav Namestnikov,28,"LW,RW",COL,11.75,1.44,1.77,11.75,1.44,1.77,14.97,10,11,21,3,83,39,40,50,49,24,19,84,-27,-14,353,,105.4
Alexander Steen,36,"LW,RW",STL,11.23,1.37,2.18,11.23,1.37,2.18,14.77,8,13,21,4,30,43,12,9,12,13,20,85,-18,-6,346,,105.2
Nikolay Goldobin,25,"LW,RW",VAN,12.23,2.63,0,12.23,2.63,0,14.86,8,16,24,7,15,14,13,1,2,27,16,98,-31,-19,360,,105.2
Daniel Sprong,23,"LW,RW",WSH,10.97,1.22,0,10.97,1.22,0,12.19,12,10,22,4,30,12,10,5,10,28,16,110,-27,-14,353,,104.8
Jesper Fast,29,RW,NYR,13.81,0,2.25,13.81,0,2.25,16.06,9,13,22,0,104,41,18,7,14,25,19,63,-62,-64,404,,104
Mike Matheson,26,D,FLA,16.91,0.63,1.64,16.91,0.63,1.64,19.18,6,11,17,2,41,68,22,0,0,37,28,98,22,78,287,,103.8
Lawson Crouse,23,LW,ARI,12.28,0,1.49,12.28,0,1.49,13.78,11,10,21,0,179,27,19,22,23,18,22,94,-39,-26,363,,103.6
Sean Walker,26,D,LA,16.57,0.74,1.28,16.57,0.74,1.28,18.59,4,14,18,3,68,67,21,0,0,36,25,94,18,74,290,,103.6
Jonas Brodin,27,D,MIN,18.87,0.49,2.15,18.87,0.49,2.15,21.51,2,14,16,1,33,95,20,0,0,35,29,78,29,85,282,,103.6
Dominik Simon,26,"LW,RW",PIT,13.46,0.63,0,13.46,0.63,0,14.08,8,15,23,1,60,21,15,11,19,27,31,90,-47,-34,371,,103.4
Emil Bemstrom,21,"C,RW",CBJ,11.38,1.59,0,11.38,1.59,0,12.97,10,12,22,8,54,18,9,5,10,17,10,101,-38,-41,378,,103.4
Warren Foegele,24,"LW,RW",CAR,12.46,0,1.21,12.46,0,1.21,13.67,11,11,22,0,66,15,27,13,14,24,32,100,-47,-35,373,,103
Nick Cousins,27,"C,LW,RW",VGK,11.96,1.41,0,11.96,1.41,0,13.37,9,12,21,4,81,28,29,69,81,19,23,98,-34,-21,361,,102.8
Paul Byron,31,"LW,RW",MON,11.96,0.7,1.72,11.96,0.7,1.72,14.38,10,12,22,1,87,33,8,10,19,22,21,68,-73,-60,400,,102.8
Richard Panik,29,"LW,RW",WSH,10.67,1.78,1.22,10.67,1.78,1.22,13.67,9,13,22,3,85,26,35,7,8,26,25,87,-51,-39,376,,102.8
Joel Eriksson Ek,24,C,MIN,13.44,0,1.95,13.44,0,1.95,15.39,8,12,20,0,98,36,21,274,344,14,17,101,-20,-42,379,,102.6
Jordan Greenway,23,"LW,RW",MIN,13.17,0.74,1.07,13.17,0.74,1.07,14.98,8,13,21,1,67,36,55,18,21,24,33,85,-44,-31,367,,102.4
Nicolas Aube-Kubel,24,RW,PHI,10.4,0.87,0,10.4,0.87,0,11.27,11,11,22,5,136,25,32,2,2,14,20,77,-73,-76,415,,102.4
Barclay Goodrow,27,"C,LW,RW",TB,12.18,0.73,2.2,12.18,0.73,2.2,15.1,8,11,19,2,116,51,64,288,276,17,33,82,-36,-23,362,,101.8
Brendan Lemieux,24,LW,NYR,10.66,1.36,0,10.66,1.36,0,12.02,10,10,20,5,147,39,65,14,27,25,12,81,-54,-42,379,,101.8
Noel Acciari,29,"C,RW",FLA,12.76,0,2.29,12.76,0,2.29,15.05,11,6,17,0,131,57,15,217,255,16,26,83,-36,-39,376,,101.4
Rudolfs Balcers,23,LW,OTT,10.97,1.41,0,10.97,1.41,0,12.38,9,12,21,5,27,36,17,3,10,22,17,75,-67,-54,392,,101.4
TJ Brodie,30,D,CGY,17.89,0.64,1.76,17.89,0.64,1.76,20.29,3,16,19,1,23,69,26,0,0,38,31,69,-28,28,320,,101.4
Rasmus Andersson,24,D,CGY,17.39,1.41,1,17.39,1.41,1,19.8,3,14,17,3,42,69,39,0,0,32,27,99,15,71,291,,101.4
Jack Roslovic,24,"C,RW",WPG,12.98,1.45,0,12.98,1.45,0,14.43,8,15,23,2,42,17,9,60,73,27,21,87,-70,-73,411,,101.2
Jimmy Vesey,27,"LW,RW",BUF,12.5,1.43,1.12,12.5,1.43,1.12,15.04,11,10,21,2,44,20,19,4,9,22,28,95,-62,-49,387,,101
Christian Wolanin,25,D,OTT,15.46,1.72,0,15.46,1.72,0,17.18,5,14,19,5,22,55,12,0,0,30,25,84,-29,26,321,,100.8
Logan Brown,22,C,OTT,10.18,2.09,0,10.18,2.09,0,12.28,5,19,24,8,33,28,11,139,201,36,26,62,-92,-114,456,,100.6
Boone Jenner,27,"C,LW",CBJ,14.36,1.7,1.79,14.36,1.7,1.79,17.85,12,13,25,2,111,60,35,439,373,20,23,141,292,305,171,,139.2
Blake Lizotte,23,C,LA,12.06,1.13,1.19,12.06,1.13,1.19,14.38,7,16,23,4,38,21,18,277,274,18,20,80,-79,-101,435,,100.4
Marc-Edouard Vlasic,33,D,SJ,16.91,0.52,2.74,16.91,0.52,2.74,20.17,4,12,16,1,25,84,12,0,0,34,26,74,-13,43,305,,100.4
Vince Dunn,24,D,STL,15.05,1.63,0,15.05,1.63,0,16.68,6,13,19,6,34,42,23,0,0,29,22,102,-24,32,314,,100.2
Danny DeKeyser,30,D,DET,18.7,0,2.6,18.7,0,2.6,21.3,4,10,14,0,76,101,33,0,0,36,30,69,-3,53,297,,100.2
Ryan Donato,24,"C,LW,RW",MIN,10.27,1.11,0,10.27,1.11,0,11.37,11,10,21,3,40,14,11,32,50,14,21,102,-65,-52,390,,100
Max Comtois,22,"LW,RW",ANA,11.96,2.39,0,11.96,2.39,0,14.35,11,12,23,6,123,14,55,7,29,37,9,72,-108,-95,432,,100
Olli Maatta,26,D,CHI,16.19,0.7,2.07,16.19,0.7,2.07,18.95,3,11,14,3,100,97,18,0,0,34,26,81,11,67,294,,100
Alex Chiasson,30,RW,EDM,11.01,2.24,0,11.01,2.24,0,13.26,12,10,22,10,52,16,28,3,7,17,16,77,-102,-105,443,,99.8
Lucas Wallmark,25,C,FLA,11.03,1.14,1.11,11.03,1.14,1.11,13.28,9,13,22,5,49,23,17,335,325,17,20,77,-90,-112,455,,99.6
Conor Sheary,28,"LW,RW",PIT,11.89,1.2,0,11.89,1.2,0,13.09,10,11,21,2,21,20,8,3,5,19,19,93,-72,-59,397,,99.6
Will Butcher,26,D,NJ,16.38,1.55,0,16.38,1.55,0,17.92,3,16,19,4,27,64,8,0,0,31,23,70,-44,12,332,,99.6
David Savard,30,D,CBJ,18.25,0,1.84,18.25,0,1.84,20.09,3,9,12,0,101,110,25,0,0,34,28,83,25,81,284,,99.6
Cody Glass,21,"C,RW",VGK,11.58,2.51,0,11.58,2.51,0,14.1,8,15,23,10,22,10,10,93,124,26,28,92,-82,-85,426,,99.4
Ethan Bear,23,D,EDM,19.26,0.81,2.06,19.26,0.81,2.06,22.13,1,14,15,2,52,93,32,0,0,40,33,80,3,59,295,,99.2
Matt Calvert,31,"LW,RW",COL,11.53,0,2.24,11.53,0,2.24,13.76,9,11,20,0,62,28,24,16,21,14,24,93,-67,-54,392,,98.8
Brandon Montour,26,D,BUF,17.94,0.79,1.38,17.94,0.79,1.38,20.11,4,13,17,2,65,61,32,0,0,35,27,97,-15,40,306,,98.8
Casey Cizikas,29,C,NYI,11.7,0,2.28,11.7,0,2.28,13.98,10,8,18,0,138,48,24,396,367,29,39,75,-76,-99,434,,98.2
Derek Ryan,34,C,CGY,11.38,0.86,1.73,11.38,0.86,1.73,13.97,8,14,22,2,14,22,11,311,262,26,31,77,-98,-120,460,,98.2
Brandon Tanev,29,"LW,RW",PIT,12.13,0,2.23,12.13,0,2.23,14.36,8,9,17,0,193,57,14,4,6,24,23,80,-58,-45,384,,97.8
Pontus Aberg,27,"LW,RW",TOR,12.31,1.98,0,12.31,1.98,0,14.29,9,13,22,6,33,10,17,3,14,30,13,94,-91,-79,420,,97.8
Scott Mayfield,28,D,NYI,17.07,0,2.55,17.07,0,2.55,19.61,3,10,13,0,86,101,44,0,0,36,24,77,-5,51,298,,97.8
Brett Howden,22,"C,LW,RW",NYR,11.41,1.38,1.92,11.41,1.38,1.92,14.71,8,11,19,3,57,49,19,244,257,25,20,65,-90,-77,416,,97.6
Maxime Lajoie,23,D,OTT,15.76,1.54,2.06,15.76,1.54,2.06,19.36,6,8,14,6,33,81,23,0,0,33,24,86,-21,35,310,,97.6
Mattias Janmark,28,"C,LW",DAL,12.28,0.71,1.64,12.28,0.71,1.64,14.63,7,14,21,4,16,31,13,28,37,26,21,75,-94,-82,422,,97.4
Brandon Pirri,29,"C,LW",VGK,10.89,1.79,0,10.89,1.79,0,12.68,12,8,20,7,49,18,27,19,23,12,28,91,-95,-82,422,,97.4
Alex Nylander,22,"LW,RW",CHI,11.27,1.39,0,11.27,1.39,0,12.66,8,14,22,2,25,12,10,6,13,20,22,91,-97,-84,425,,97
Oskar Sundqvist,26,"C,RW",STL,12.35,0,1.71,12.35,0,1.71,14.06,9,11,20,0,69,25,25,148,179,10,36,88,-91,-94,431,,96.6
Michal Kempny,30,D,WSH,16.72,0,1.62,16.72,0,1.62,18.34,3,12,15,0,51,83,26,0,0,30,26,77,-32,24,324,,96.6
Matt Roy,25,D,LA,16.56,0,1.51,16.56,0,1.51,18.07,4,10,14,0,103,84,10,0,0,34,24,84,-24,31,317,,96.4
Tyson Jost,22,"C,LW",COL,11.15,1.91,0,11.15,1.91,0,13.05,9,11,20,4,40,18,17,67,122,10,16,100,-84,-72,410,,96.2
Rocco Grimaldi,27,"LW,RW",NSH,11.93,0,0,11.93,0,0,11.93,8,13,21,0,24,14,9,3,4,17,25,98,-90,-77,416,,96.2
Jake Gardiner,30,D,CAR,15.33,1.68,0,15.33,1.68,0,17.01,2,19,21,6,35,42,24,0,0,30,24,71,-88,-32,368,,96
Ryan Hartman,26,"LW,RW",MIN,11.24,0,1.15,11.24,0,1.15,12.39,8,10,18,0,51,39,46,56,54,15,26,91,-75,-62,403,,95.8
Christopher Tanev,31,D,VAN,15.82,0,3.12,15.82,0,3.12,18.94,2,11,13,0,27,114,18,0,0,35,26,45,-49,7,335,,95.6
Travis Zajac,35,C,NJ,13.27,0.82,2.78,13.27,0.82,2.78,16.87,8,13,21,1,46,29,22,454,403,16,33,64,-127,-149,486,,95.4
Ryan Kesler,36,C,ANA,12.57,1.38,2.28,12.57,1.38,2.28,16.23,9,8,17,3,83,47,42,473,409,24,14,81,-88,-110,452,,95
Marcus Pettersson,24,D,PIT,17.08,0.87,1.27,17.08,0.87,1.27,19.23,2,14,16,2,80,79,36,0,0,35,25,67,-59,-4,343,,95
Evan Rodrigues,27,"C,RW",PIT,10.42,1.32,1.77,10.42,1.32,1.77,13.51,7,12,19,3,27,23,18,170,199,18,23,107,-75,-78,419,,94.6
Nikita Zaitsev,29,D,OTT,18.62,0,2.95,18.62,0,2.95,21.57,2,10,12,0,103,112,19,0,0,40,28,59,-37,18,328,,94.6
Derek Grant,30,"C,LW",PHI,10.36,0.63,2.23,10.36,0.63,2.23,13.21,10,9,19,2,61,28,24,334,309,13,19,80,-117,-104,440,,94.2
Erik Cernak,23,D,TB,16.29,0,2.96,16.29,0,2.96,19.25,4,9,13,0,163,79,49,0,0,30,26,98,-24,32,314,,94.2
Morgan Frost,21,"C,LW",PHI,11.67,2.53,0,11.67,2.53,0,14.2,6,15,21,2,12,12,12,130,144,18,30,101,-98,-85,426,,94
Derick Brassard,33,"C,LW,RW",NYI,11.79,1.56,0,11.79,1.56,0,13.36,9,11,20,4,82,17,18,198,175,29,22,90,-115,-102,438,,93.8
Troy Terry,23,RW,ANA,12.82,1.92,0,12.82,1.92,0,14.74,7,15,22,6,9,14,7,4,7,25,34,76,-135,-137,475,,93.8
Luca Sbisa,31,D,WPG,15.65,0,2.15,15.65,0,2.15,17.8,1,14,15,0,108,90,36,0,0,33,23,59,-65,-9,349,,93.8
Jordan Weal,28,"C,RW",MON,11.6,1.73,0,11.6,1.73,0,13.33,8,12,20,6,27,22,16,129,122,15,21,84,-118,-121,462,,93.6
Cody Eakin,29,C,WPG,12.11,0.83,1.77,12.11,0.83,1.77,14.71,9,11,20,2,54,22,18,343,346,25,32,78,-129,-152,489,,93.4
Dylan DeMelo,27,D,WPG,16.99,0.75,2.16,16.99,0.75,2.16,19.9,1,14,15,1,95,81,34,0,0,34,24,75,-54,2,338,,93.4
Joel Edmundson,27,D,CAR,15.78,0,2.73,15.78,0,2.73,18.52,4,9,13,0,99,85,53,0,0,32,24,82,-46,10,333,,93.4
Dennis Cholowski,22,D,DET,16.7,2.67,0,16.7,2.67,0,19.37,4,12,16,8,25,57,11,0,0,35,25,91,-66,-10,351,,93
Andy Greene,38,D,NYI,16,0,3.03,16,0,3.03,19.02,2,8,10,0,35,123,13,0,0,33,26,59,-36,20,326,,93
Alexander Wennberg,26,"C,LW",CBJ,12.91,2.05,1.52,12.91,2.05,1.52,16.47,4,17,21,4,20,30,15,287,338,22,22,68,-131,-118,458,,92.6
Mark Borowiecki,31,D,OTT,15,0,2.1,15,0,2.1,17.1,3,8,11,0,187,107,55,0,0,29,24,68,-46,10,333,,92.4
Sam Bennett,24,"LW,RW",CGY,11.77,1.06,0,11.77,1.06,0,12.82,10,9,19,2,104,16,52,82,76,25,22,94,-123,-110,452,,92.2
Johnny Boychuk,37,D,NYI,15.03,0.43,1.8,15.03,0.43,1.8,17.26,2,9,11,1,111,98,18,0,0,33,22,90,-24,32,314,,92.2
Teddy Blueger,26,"C,LW",PIT,12.65,0,2.45,12.65,0,2.45,15.09,9,9,18,0,87,31,23,261,328,19,20,83,-122,-109,451,,92
Colin Blackwell,27,"C,LW,RW",NSH,10.71,0,0,10.71,0,0,10.71,6,13,19,0,89,41,17,74,59,14,12,63,-134,-121,462,,92
Jason Dickinson,25,"C,LW",DAL,12.57,0,2.07,12.57,0,2.07,14.64,6,12,18,0,95,44,12,179,220,24,33,70,-123,-110,452,,91.6
Adam Gaudette,24,C,VAN,10.77,1.55,0,10.77,1.55,0,12.32,8,13,21,6,35,17,35,174,250,12,19,69,-157,-180,517,,91.6
Cody Ceci,27,D,TOR,17.85,0,2.86,17.85,0,2.86,20.71,3,10,13,0,94,90,17,0,0,36,27,68,-70,-14,353,,91.6
Colton Sceviour,31,"LW,RW",FLA,10.29,0,2.38,10.29,0,2.38,12.67,7,8,15,0,72,51,5,48,66,25,20,95,-83,-70,409,,91.4
Nicolas Roy,23,"C,RW",VGK,11,0,0,11,0,0,11,9,11,20,0,78,14,17,185,179,10,18,83,-145,-148,485,,91.2
Nick Paul,25,"C,LW",OTT,12.65,0.68,0,12.65,0.68,0,13.33,9,7,16,2,117,31,23,135,130,17,22,109,-90,-77,416,,91.2
Valeri Nichushkin,25,"LW,RW",COL,11.8,1.64,0,11.8,1.64,0,13.44,7,12,19,3,73,22,16,3,3,20,30,92,-120,-107,447,,91.2
Sam Gagner,31,"LW,RW",DET,11.98,0.89,0,11.98,0.89,0,12.87,8,11,19,3,31,14,20,84,91,26,14,102,-118,-105,443,,91
Vladislav Gavrikov,25,D,CBJ,17.57,0,1.62,17.57,0,1.62,19.2,4,10,14,0,66,77,15,0,0,31,25,71,-86,-30,365,,91
Marcus Foligno,29,"LW,RW",MIN,12.05,0,1.86,12.05,0,1.86,13.91,8,10,18,0,169,35,28,9,14,15,26,74,-136,-123,465,,90.8
Brian Boyle,36,"C,LW",FLA,10.32,1.03,1.51,10.32,1.03,1.51,12.86,9,7,16,2,98,43,26,235,225,18,22,82,-119,-106,445,,90.6
Antoine Roussel,31,LW,VAN,10.57,1.23,1,10.57,1.23,1,12.79,8,11,19,3,68,27,62,15,14,19,12,74,-146,-133,472,,90.6
Carl Hagelin,32,LW,WSH,11.18,0,2.69,11.18,0,2.69,13.87,7,12,19,0,39,18,18,11,15,21,24,97,-121,-108,449,,90.6
Colin Wilson,31,"LW,RW",COL,11.16,1.83,0,11.16,1.83,0,12.99,8,11,19,5,40,23,7,34,39,11,12,80,-144,-132,471,,90.2
Mike Reilly,27,D,OTT,16.18,1.49,0,16.18,1.49,0,17.67,2,14,16,6,48,55,27,0,0,29,24,91,-82,-26,363,,90.2
Madison Bowey,25,D,DET,15.78,0.64,1.47,15.78,0.64,1.47,17.88,3,13,16,1,65,63,42,0,0,32,22,70,-106,-50,388,,90.2
Anton Stralman,34,D,FLA,17.86,0,2.59,17.86,0,2.59,20.45,3,11,14,0,60,76,12,0,0,35,28,74,-86,-30,365,,90.2
Jordan Oesterle,28,D,ARI,15.37,1.05,1.11,15.37,1.05,1.11,17.54,3,9,12,2,49,92,13,0,0,28,22,72,-71,-15,356,,90.2
Michael Amadio,24,C,LA,11.24,1.53,0,11.24,1.53,0,12.77,8,12,20,4,22,18,10,159,186,21,26,74,-160,-182,520,,90
Alexandre Texier,21,"C,LW",CBJ,12.58,0,0,12.58,0,0,12.58,9,11,20,0,32,12,13,40,63,19,26,81,-158,-145,482,,90
Justin Holl,29,D,TOR,16.27,0,2.03,16.27,0,2.03,18.3,3,12,15,0,74,69,37,0,0,30,26,70,-103,-47,385,,89.6
Dan Girardi,36,D,TB,15,0,2.34,15,0,2.34,17.35,3,8,11,0,119,100,16,0,0,29,23,68,-72,-16,358,,89.6
Valtteri Filppula,36,C,DET,12.56,1.64,1.67,12.56,1.64,1.67,15.87,7,13,20,3,17,27,17,280,311,29,19,58,-175,-197,546,,89.4
Devin Shore,26,"C,LW",CBJ,10.9,1.18,1.41,10.9,1.18,1.41,13.49,7,12,19,4,61,29,10,62,82,12,19,69,-157,-144,481,,89.4
Radko Gudas,30,D,WSH,13.83,0,2.77,13.83,0,2.77,16.6,2,11,13,0,143,79,39,0,0,30,22,84,-71,-15,356,,89.4
Michael Rasmussen,21,"LW,RW",DET,10.82,1.94,0,10.82,1.94,0,12.75,10,8,18,4,79,26,32,27,44,27,11,74,-160,-147,484,,89.2
Ben Hutton,27,D,LA,16.9,1.41,1.7,16.9,1.41,1.7,20.01,3,10,13,3,44,68,18,0,0,36,27,100,-64,-8,347,,89.2
Nick Leddy,29,D,NYI,18.69,1.36,0,18.69,1.36,0,20.05,2,14,16,3,54,59,12,0,0,35,29,76,-108,-53,391,,88.8
Stephen Johns,28,D,DAL,16.72,0,0,16.72,0,0,16.72,3,9,12,0,155,77,31,0,0,29,23,94,-66,-10,351,,88.6
Colton Sissons,27,"C,LW",NSH,11.88,1.1,2.33,11.88,1.1,2.33,15.3,9,8,17,2,84,36,24,308,275,23,17,68,-163,-151,487,,88
Nicolas Hague,22,D,VGK,15.59,0.96,0,15.59,0.96,0,16.55,2,16,18,6,108,41,47,0,0,27,22,78,-130,-74,412,,88
Christian Fischer,23,RW,ARI,11.27,1.8,0,11.27,1.8,0,13.06,9,8,17,2,123,19,19,3,10,10,8,100,-139,-142,480,,87.6
Loui Eriksson,35,"LW,RW",VAN,10.59,0.94,1.31,10.59,0.94,1.31,12.84,8,11,19,1,9,19,13,2,2,10,19,75,-173,-160,492,,87.6
Slater Koekkoek,26,D,CHI,15.23,0,1.43,15.23,0,1.43,16.66,4,9,13,0,88,75,41,0,0,27,23,72,-110,-54,392,,87.4
Drake Caggiula,26,"LW,RW",CHI,11.38,0,0,11.38,0,0,11.38,10,8,18,0,116,21,28,8,17,12,20,73,-181,-168,504,,87
Michael Del Zotto,30,D,ANA,15.82,0.68,1.53,15.82,0.68,1.53,18.03,2,13,15,1,138,66,18,0,0,31,23,68,-124,-68,408,,87
Josh Manson,29,D,ANA,17.94,0,2.76,17.94,0,2.76,20.7,3,11,14,0,130,68,43,0,0,38,31,74,-115,-59,397,,87
Nathan Gerbe,33,"LW,RW",CBJ,12.69,0,0,12.69,0,0,12.69,7,11,18,0,82,15,15,11,11,18,8,99,-146,-133,472,,86.8
Trevor Moore,25,"LW,RW",LA,10.6,0.83,1.35,10.6,0.83,1.35,12.78,8,10,18,1,68,23,8,4,10,26,27,78,-169,-156,490,,86.8
Henrik Borgstrom,23,C,FLA,11.16,1.08,0,11.16,1.08,0,12.23,8,12,20,6,12,14,6,182,265,29,24,64,-202,-224,576,,86.4
Mathieu Perreault,33,"LW,RW",WPG,11.19,1.3,0,11.19,1.3,0,12.49,9,9,18,3,81,19,18,17,11,14,21,79,-177,-164,497,,86.4
Zdeno Chara,43,D,BOS,17.43,0,2.84,17.43,0,2.84,20.28,4,8,12,0,73,76,41,0,0,37,27,80,-104,-48,386,,86.4
Ivan Barbashev,25,"C,LW,RW",STL,11.44,0,1.67,11.44,0,1.67,13.11,8,11,19,0,95,26,16,113,145,20,26,54,-204,-191,538,,86.2
Travis Dermott,24,D,TOR,16.31,0,1.24,16.31,0,1.24,17.56,3,12,15,0,81,58,25,0,0,33,24,75,-130,-74,412,,86.2
Brian Dumoulin,29,D,PIT,18.08,0,2.29,18.08,0,2.29,20.37,2,11,13,0,87,79,20,0,0,33,28,68,-115,-59,397,,86.2
Brandon Sutter,31,"C,RW",VAN,11.58,0.78,2.63,11.58,0.78,2.63,14.99,8,9,17,2,33,22,21,316,313,12,18,91,-157,-160,492,,86
Pierre Engvall,24,"C,LW",TOR,10.73,0,1.38,10.73,0,1.38,12.12,10,8,18,0,35,12,5,51,78,28,18,86,-179,-166,500,,86
Riley Stillman,22,D,FLA,17.08,0,2.49,17.08,0,2.49,19.57,1,10,11,0,102,97,16,0,0,40,24,66,-98,-42,379,,86
