Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Austin Wagner,23,"LW,RW",LA,11.39,0,0,11.39,0,0,11.39,10,7,17,0,139,14,24,3,5,19,14,96,-163,-151,487,,85.8
Peter Cehlarik,25,LW,BOS,11.48,0,0,11.48,0,0,11.48,9,9,18,0,13,19,18,1,15,12,31,76,-185,-172,507,,85.8
Andrew MacDonald,34,D,CGY,14.74,0,1.88,14.74,0,1.88,16.61,2,9,11,0,30,99,18,0,0,28,21,55,-116,-60,400,,85.6
Chandler Stephenson,26,"C,LW,RW",VGK,12.07,0.74,1.4,12.07,0.74,1.4,14.21,6,13,19,2,38,29,11,133,171,17,27,54,-202,-189,536,,85.4
Josh Archibald,28,"LW,RW",EDM,10.76,0,2.13,10.76,0,2.13,12.89,9,8,17,0,145,33,10,9,14,9,18,61,-193,-181,519,,85.4
Tyler Pitlick,29,"C,LW,RW",PHI,10.85,0,1.34,10.85,0,1.34,12.19,8,8,16,0,106,37,12,5,13,16,21,73,-170,-157,491,,85.4
Andrew Ladd,35,LW,NYI,12.52,0,0,12.52,0,0,12.52,7,12,19,0,63,20,24,2,6,26,18,66,-198,-185,530,,85.2
Justin Braun,33,D,PHI,15.3,0,1.98,15.3,0,1.98,17.28,2,11,13,0,81,78,16,0,0,29,22,64,-129,-74,412,,85
Ron Hainsey,39,D,OTT,17.03,0,2.83,17.03,0,2.83,19.86,2,10,12,0,52,92,12,0,0,36,25,49,-138,-82,422,,84.6
Denis Malgin,24,"C,LW,RW",TOR,11.15,1.03,0,11.15,1.03,0,12.18,8,10,18,2,45,21,17,67,103,21,29,70,-198,-186,531,,84.4
Thomas Hickey,31,D,NYI,15.75,0,2.31,15.75,0,2.31,18.06,2,9,11,0,57,90,31,0,0,32,23,65,-121,-66,406,,84
Dante Fabbro,22,D,NSH,18.57,0.6,0,18.57,0.6,0,19.18,4,7,11,1,50,74,36,0,0,34,26,86,-114,-58,396,,83.8
Adam Larsson,28,D,EDM,18.05,0,1.84,18.05,0,1.84,19.88,2,8,10,0,155,94,36,0,0,36,27,71,-110,-54,392,,83.8
Nikolai Prokhorkin,27,"C,LW,RW",LA,11.38,0.69,0,11.38,0.69,0,12.06,6,13,19,3,48,10,8,128,141,17,24,83,-193,-180,517,,83.6
Brock McGinn,26,"LW,RW",CAR,10.86,0,2.45,10.86,0,2.45,13.31,8,9,17,0,76,21,10,12,19,13,22,81,-188,-175,510,,83.6
Patrik Nemeth,28,D,DET,17.56,0,3.16,17.56,0,3.16,20.72,2,7,9,0,77,103,29,0,0,37,26,67,-107,-51,389,,83.6
Pat Maroon,32,"LW,RW",TB,10.73,1.46,0,10.73,1.46,0,12.19,8,11,19,4,89,10,52,4,3,13,13,71,-217,-204,554,,83.2
Marcus Sorensen,28,"LW,RW",SJ,11.83,0,1.42,11.83,0,1.42,13.25,9,9,18,0,53,19,10,4,13,15,24,63,-220,-207,556,,83.2
Michael Frolik,32,"LW,RW",BUF,10.98,0,1.61,10.98,0,1.61,12.59,7,10,17,0,33,21,25,10,18,28,29,83,-187,-174,508,,83
Henri Jokiharju,21,D,BUF,16.7,0,1.28,16.7,0,1.28,17.99,2,13,15,0,66,54,29,0,0,32,24,72,-157,-101,435,,83
Casey Mittelstadt,22,C,BUF,11.5,1.92,0,11.5,1.92,0,13.41,8,10,18,6,19,14,5,161,200,19,14,75,-210,-233,588,,82.6
Brayden McNabb,30,D,VGK,16.53,0,2.96,16.53,0,2.96,19.49,2,7,9,0,157,104,32,0,0,33,27,60,-122,-66,406,,82.6
Kyle Okposo,32,RW,BUF,11.69,0.72,0,11.69,0.72,0,12.41,8,9,17,2,54,17,27,36,35,15,14,83,-197,-200,549,,82.4
Austin Czarnik,28,"LW,RW",CGY,9.84,1.07,0,9.84,1.07,0,10.91,7,11,18,2,10,23,9,32,37,15,24,60,-223,-210,560,,82.2
Brad Hunt,32,D,MIN,12.37,2.18,0,12.37,2.18,0,14.55,5,10,15,9,17,36,6,0,0,22,20,89,-163,-107,447,,82.2
Matt Luff,23,RW,LA,10.44,0,0,10.44,0,0,10.44,8,9,17,0,43,19,7,1,6,15,11,77,-206,-209,557,,82
Cedric Paquette,27,C,TB,10.78,0,1.94,10.78,0,1.94,12.73,8,6,14,0,157,45,38,284,281,9,15,69,-190,-213,566,,81.8
Colin Miller,28,D,BUF,15.55,1.4,0,15.55,1.4,0,16.96,2,13,15,4,99,43,27,0,0,31,24,87,-157,-101,435,,81.6
Deryk Engelland,38,D,VGK,14.17,0,3,14.17,0,3,17.17,2,8,10,0,116,92,31,0,0,29,22,64,-136,-80,421,,81.6
Sean Kuraly,28,"C,LW",BOS,11.54,0,1.59,11.54,0,1.59,13.13,6,10,16,0,113,24,29,216,215,23,23,89,-183,-171,505,,81.4
Jordie Benn,33,D,VAN,13.8,0,2.5,13.8,0,2.5,16.3,2,9,11,0,61,83,22,0,0,28,20,66,-144,-89,430,,81.4
Luke Glendening,31,"C,RW",DET,12.2,0,2.77,12.2,0,2.77,14.96,7,5,12,0,139,60,13,372,289,15,12,71,-173,-176,512,,81.2
Kris Russell,33,D,EDM,14.63,0,2.22,14.63,0,2.22,16.85,1,8,9,0,68,109,13,0,0,33,23,48,-141,-85,426,,81.2
Trevor Lewis,34,"C,RW",LA,10.8,0,1.53,10.8,0,1.53,12.33,7,8,15,0,72,26,17,44,68,14,11,93,-180,-183,522,,81
Chris Wideman,31,D,ANA,10.86,1.93,0,10.86,1.93,0,12.79,3,12,15,2,75,45,35,0,0,21,15,75,-177,-122,464,,81
Jason Spezza,37,"C,RW",TOR,9.52,1.22,0,9.52,1.22,0,10.74,6,12,18,5,11,17,17,226,182,28,16,70,-222,-225,578,,80.8
Taro Hirose,24,"LW,RW",DET,10.21,2.58,0,10.21,2.58,0,12.79,4,13,17,10,28,34,14,1,11,39,13,61,-213,-200,549,,80.8
Ryan Lindgren,22,D,NYR,14.79,0,2.36,14.79,0,2.36,17.15,1,13,14,0,93,70,36,0,0,32,26,49,-185,-129,467,,80.8
Matt Grzelcyk,27,D,BOS,15.62,1.47,1.12,15.62,1.47,1.12,18.22,2,12,14,4,45,49,32,0,0,30,26,85,-160,-104,440,,80.6
Brendan Guhle,23,D,ANA,16.33,0,0,16.33,0,0,16.33,2,11,13,0,37,58,15,0,0,28,23,82,-154,-98,433,,80.6
Brad Richardson,35,C,ARI,11.03,0,2.59,11.03,0,2.59,13.61,7,7,14,0,61,41,19,347,307,15,14,75,-193,-216,569,,80.4
Kenny Agostino,28,LW,TOR,11.52,0.98,0,11.52,0.98,0,12.5,5,14,19,3,124,12,31,14,25,25,21,68,-231,-218,571,,80.4
Jake McCabe,27,D,BUF,16.25,0,2.35,16.25,0,2.35,18.6,2,9,11,0,90,83,33,0,0,31,25,61,-158,-102,438,,80.4
Jayce Hawryluk,25,"LW,RW",OTT,10.58,0,0,10.58,0,0,10.58,7,11,18,0,144,24,37,10,14,27,20,48,-252,-239,598,,80.2
Kevin Connauton,30,D,COL,15.03,0,2.86,15.03,0,2.86,17.88,4,6,10,0,113,75,19,0,0,29,21,81,-143,-87,429,,80.2
Travis Boyd,27,"C,RW",WSH,10.14,0,0,10.14,0,0,10.14,6,13,19,0,26,21,5,97,137,13,15,43,-261,-264,624,,80
Ryan Callahan,35,RW,OTT,9.9,0,1.12,9.9,0,1.12,11.03,6,10,16,0,99,27,18,12,22,10,21,76,-208,-211,562,,80
Nick Holden,33,D,VGK,16.43,0,1.83,16.43,0,1.83,18.26,3,9,12,0,110,64,9,0,0,31,26,77,-160,-104,440,,80
Dillon Dube,22,"C,LW,RW",CGY,11.79,0.87,0,11.79,0.87,0,12.67,6,12,18,2,59,14,8,18,23,20,19,71,-230,-218,571,,79.8
Matt Nieto,28,"LW,RW",COL,10.9,0,2.52,10.9,0,2.52,13.42,6,11,17,0,28,23,6,3,4,11,15,67,-228,-215,568,,79.6
Tyler Motte,25,"LW,RW",VAN,11.03,0,2.04,11.03,0,2.04,13.06,7,6,13,0,163,47,12,13,19,13,26,73,-196,-183,522,,79.4
Kevan Miller,33,D,BOS,15.76,0,1.97,15.76,0,1.97,17.73,1,9,10,0,117,96,45,0,0,30,24,50,-164,-108,449,,79.4
Adam Lowry,27,C,WPG,12.33,0,2.3,12.33,0,2.3,14.64,7,8,15,0,166,30,19,406,339,12,30,76,-212,-234,589,,79.2
Blake Comeau,34,"LW,RW",DAL,12.42,0,2.04,12.42,0,2.04,14.46,7,9,16,0,110,25,34,41,57,26,24,71,-224,-211,562,,79.2
Jason Demers,32,D,ARI,17.67,0,2.15,17.67,0,2.15,19.83,2,10,12,0,75,72,23,0,0,34,29,62,-176,-120,460,,79.2
Antti Suomela,26,C,SJ,9.6,0,0,9.6,0,0,9.6,6,12,18,0,60,16,7,156,149,10,15,62,-248,-270,631,,78.8
Cal Clutterbuck,33,RW,NYI,10.85,0.94,2.11,10.85,0.94,2.11,13.91,6,8,14,2,175,44,43,9,13,30,16,66,-211,-214,567,,78.8
Derrick Pouliot,27,D,STL,15.85,0.99,0,15.85,0.99,0,16.84,2,10,12,2,65,72,22,0,0,30,23,59,-185,-129,467,,78.6
Joey Anderson,22,RW,NJ,11.53,0,0,11.53,0,0,11.53,9,8,17,0,52,12,7,7,11,18,13,68,-252,-254,613,,78.4
Erik Brannstrom,21,D,OTT,13.68,1.57,0,13.68,1.57,0,15.25,1,11,12,3,29,68,32,0,0,24,19,71,-171,-115,457,,78.4
Robert Hagg,25,D,PHI,14.66,0,1.41,14.66,0,1.41,16.07,2,8,10,0,155,89,35,0,0,30,21,54,-174,-119,459,,78.4
Joakim Ryan,27,D,LA,16.66,0,1.7,16.66,0,1.7,18.36,2,8,10,0,42,79,16,0,0,34,24,72,-162,-106,445,,78
Charles Hudon,26,"LW,RW",MON,10.6,1.4,0,10.6,1.4,0,12.01,7,7,14,3,112,20,27,31,41,22,19,104,-192,-179,516,,77.8
Max Jones,22,LW,ANA,13.13,0.78,0,13.13,0.78,0,13.91,9,5,14,1,72,14,37,8,12,28,18,106,-199,-186,531,,77.8
Jean-Sebastien Dea,26,"C,RW",BUF,9.33,0,0,9.33,0,0,9.33,9,6,15,0,50,26,21,112,108,15,26,66,-244,-247,604,,77.6
Taylor Fedun,32,D,DAL,12.81,0,0.98,12.81,0,0.98,13.79,4,9,13,0,27,46,17,0,0,23,19,79,-197,-141,479,,77.2
David Backes,36,"C,RW",ANA,8.49,1.45,0,8.49,1.45,0,9.94,6,9,15,4,92,17,46,81,89,12,16,96,-210,-212,565,,77
Michael Grabner,33,"LW,RW",ARI,10.01,0,2.32,10.01,0,2.32,12.33,10,5,15,0,30,16,9,2,6,18,35,78,-244,-231,585,,77
Zack MacEwen,24,"C,RW",VAN,9.8,0,0,9.8,0,0,9.8,11,5,16,0,134,18,54,4,1,27,14,53,-281,-283,647,,76.8
David Kampf,26,"C,RW",CHI,11.46,0,2.18,11.46,0,2.18,13.64,6,10,16,0,38,23,9,266,252,12,27,67,-247,-250,605,,76.6
Frans Nielsen,36,C,DET,10.98,1.06,1.56,10.98,1.06,1.56,13.59,6,8,14,2,39,32,9,232,257,17,11,79,-220,-242,599,,76.6
Brian Gibbons,32,"LW,RW",CAR,10.12,0,1.47,10.12,0,1.47,11.59,6,10,16,0,31,32,18,13,22,17,24,47,-268,-256,615,,76.2
Niklas Hjalmarsson,33,D,ARI,15.81,0,2.77,15.81,0,2.77,18.59,1,7,8,0,32,107,29,0,0,34,26,42,-184,-128,466,,76.2
Austin Watson,29,"LW,RW",NSH,10.63,0,1.26,10.63,0,1.26,11.89,7,6,13,0,146,44,44,9,8,20,17,62,-237,-224,576,,76
Phillip Di Giuseppe,27,"LW,RW",NYR,11.04,0,0,11.04,0,0,11.04,5,8,13,0,121,36,6,1,5,14,12,88,-205,-192,540,,76
Jonas Siegenthaler,23,D,WSH,12.91,0,3.15,12.91,0,3.15,16.07,1,8,9,0,53,98,38,0,0,29,19,43,-195,-139,478,,75.8
Sammy Blais,24,"LW,RW",STL,11.57,0.94,0,11.57,0.94,0,12.51,7,8,15,1,188,22,24,1,1,24,18,74,-246,-234,589,,75.6
Martin Frk,27,"LW,RW",LA,11.48,0,0,11.48,0,0,11.48,7,11,18,0,60,10,9,0,1,26,7,53,-289,-277,638,,75.6
Troy Stecher,26,D,VAN,15.11,0.66,1.59,15.11,0.66,1.59,17.37,2,9,11,1,68,65,27,0,0,28,24,73,-192,-136,474,,75.6
Jay Bouwmeester,37,D,STL,18.48,0,2.46,18.48,0,2.46,20.94,2,8,10,0,43,78,23,0,0,35,28,62,-193,-137,475,,75.6
Jesse Puljujarvi,22,RW,EDM,12.12,0,0,12.12,0,0,12.12,7,7,14,0,56,25,17,2,3,33,24,82,-233,-236,592,,75.4
Lukas Radil,30,"C,LW",SJ,10.46,0,0,10.46,0,0,10.46,10,6,16,0,42,13,10,10,6,14,21,60,-285,-272,634,,75.2
Jordan Kyrou,22,"C,RW",STL,10.75,0,0,10.75,0,0,10.75,6,10,16,0,13,16,17,6,5,11,21,74,-254,-257,619,,75.2
Carson Soucy,26,D,MIN,14.47,0,1.24,14.47,0,1.24,15.7,5,7,12,0,72,52,13,0,0,27,21,67,-223,-167,502,,75.2
Tomas Nosek,28,"C,LW",VGK,10.11,0,1.45,10.11,0,1.45,11.56,7,7,14,0,65,25,16,119,122,13,22,80,-238,-226,579,,75
Brenden Dillon,30,D,WSH,16.96,0,1.9,16.96,0,1.9,18.86,1,12,13,0,154,61,54,0,0,31,27,53,-226,-171,505,,75
Brandon Carlo,24,D,BOS,17.57,0,3.07,17.57,0,3.07,20.64,3,7,10,0,100,64,25,0,0,34,29,82,-186,-130,469,,75
Yakov Trenin,24,"C,LW",NSH,9.84,0,0,9.84,0,0,9.84,6,9,15,0,129,25,11,8,3,8,19,68,-256,-244,601,,74.6
Magnus Paajarvi,29,"LW,RW",OTT,11.15,0,1.88,11.15,0,1.88,13.03,7,5,12,0,57,37,7,3,5,11,15,84,-222,-210,560,,74.6
Carl Gunnarsson,34,D,STL,13.56,0,1.6,13.56,0,1.6,15.17,4,6,10,0,35,75,20,0,0,28,20,53,-219,-164,497,,74.6
Darren Helm,34,"LW,RW",DET,11.81,0,1.67,11.81,0,1.67,13.48,7,7,14,0,70,21,29,17,15,24,21,85,-240,-227,581,,74.4
Dryden Hunt,25,LW,FLA,10.54,0,0,10.54,0,0,10.54,4,11,15,0,104,18,51,0,2,12,12,91,-229,-216,569,,74.4
Markus Nutivaara,26,D,CBJ,15.92,0,0,15.92,0,0,15.92,4,9,13,0,49,43,8,0,0,28,22,71,-230,-174,508,,74.4
Derek Forbort,28,D,CGY,16.46,0,2.63,16.46,0,2.63,19.09,1,7,8,0,96,94,20,0,0,36,26,59,-186,-130,469,,74.4
Jordan Martinook,28,"C,RW",CAR,10.2,0,1.43,10.2,0,1.43,11.62,6,9,15,0,93,27,24,72,84,19,29,62,-265,-268,627,,74.2
Mikkel Boedker,31,"LW,RW",OTT,8.42,1.51,0,8.42,1.51,0,9.93,6,10,16,4,29,15,4,3,7,21,7,71,-266,-253,607,,74.2
Kyle Clifford,30,LW,TOR,10.54,0,0,10.54,0,0,10.54,7,8,15,0,115,12,43,3,4,12,8,87,-248,-235,591,,74.2
Nikita Zadorov,25,D,COL,16.01,0,1.84,16.01,0,1.84,17.85,4,7,11,0,162,59,54,0,0,29,26,68,-218,-162,494,,74.2
Radim Simek,28,D,SJ,15.05,0,1.72,15.05,0,1.72,16.77,2,10,12,0,105,64,14,0,0,29,23,52,-233,-177,514,,74
Zemgus Girgensons,27,"LW,RW",BUF,11.44,0,2.3,11.44,0,2.3,13.73,7,8,15,0,97,19,12,24,36,10,14,71,-266,-253,607,,73.8
Pierre-Edouard Bellemare,35,"C,LW",COL,10.73,0,2.01,10.73,0,2.01,12.74,5,8,13,0,37,39,9,302,272,16,36,70,-243,-230,582,,73.6
Noah Juulsen,23,D,MON,15.65,0,0,15.65,0,0,15.65,2,9,11,0,140,65,11,0,0,27,22,63,-219,-163,495,,73.6
Marco Scandella,30,D,STL,15.23,0,2.02,15.23,0,2.02,17.25,4,7,11,0,60,57,19,0,0,31,24,69,-223,-167,502,,73.6
Curtis Lazar,25,"C,RW",BUF,10.05,0,1.85,10.05,0,1.85,11.91,7,7,14,0,115,34,9,210,225,16,18,54,-276,-279,644,,73.4
Ryan Carpenter,30,"C,LW,RW",CHI,11.09,0,2.14,11.09,0,2.14,13.23,6,8,14,0,93,27,17,192,226,19,24,73,-255,-242,599,,73.4
Kiefer Sherwood,25,RW,ANA,11.1,0,0,11.1,0,0,11.1,7,8,15,0,87,20,10,7,11,23,18,66,-276,-278,642,,73.2
Stefan Noesen,27,RW,SJ,10.88,0,0,10.88,0,0,10.88,8,5,13,0,95,23,24,13,20,10,22,84,-250,-253,607,,73
Roman Polak,34,D,DAL,13.78,0,2.71,13.78,0,2.71,16.49,1,6,7,0,136,104,34,0,0,30,20,47,-201,-145,482,,73
Mark Jankowski,26,C,CGY,9.06,0,2.1,9.06,0,2.1,11.16,7,7,14,0,15,34,14,216,244,19,29,51,-284,-307,663,,72.8
Barrett Hayton,20,"C,LW",ARI,11.45,0,0,11.45,0,0,11.45,6,10,16,0,40,9,45,70,108,12,24,76,-274,-261,622,,72.8
Noah Dobson,21,D,NYI,12.86,1.05,0,12.86,1.05,0,13.91,2,10,12,2,45,54,15,0,0,23,18,66,-232,-176,512,,72.8
Riley Sheahan,29,"C,LW",EDM,10.3,0,2.33,10.3,0,2.33,12.63,7,7,14,0,28,28,6,315,313,19,28,62,-276,-264,624,,72.6
Jakob Forsbacka Karlsson,24,C,BOS,11.37,0,0,11.37,0,0,11.37,6,11,17,0,25,18,5,186,256,9,17,42,-314,-336,687,,72.6
Milan Lucic,32,LW,CGY,11.4,1.43,0,11.4,1.43,0,12.83,6,10,16,4,159,15,35,16,18,33,16,63,-287,-275,636,,72.6
Mathieu Joseph,23,"LW,RW",TB,10.82,0,0,10.82,0,0,10.82,8,8,16,0,82,12,26,7,15,16,22,59,-300,-287,650,,72.6
Dylan Sikura,25,"LW,RW",CHI,11.39,0,0,11.39,0,0,11.39,3,12,15,0,9,17,4,1,9,12,32,89,-242,-230,582,,72.6
Eric Robinson,25,"LW,RW",CBJ,10.87,0,0,10.87,0,0,10.87,8,6,14,0,89,17,12,5,8,12,13,78,-269,-256,615,,72.4
Garnet Hathaway,29,RW,WSH,9.06,0,1.45,9.06,0,1.45,10.51,7,6,13,0,142,34,45,5,13,16,16,62,-274,-277,638,,72
Victor Mete,22,D,MON,16,0,1.13,16,0,1.13,17.13,2,7,9,0,20,78,18,0,0,31,23,59,-221,-165,499,,72
Victor Rask,27,C,MIN,10.12,1.47,0,10.12,1.47,0,11.59,6,10,16,3,36,12,8,196,210,14,20,64,-296,-318,674,,71.6
Jujhar Khaira,26,"C,LW",EDM,10.83,0,1.53,10.83,0,1.53,12.37,6,8,14,0,116,29,32,56,55,30,16,60,-283,-270,631,,71.6
Erik Gudbranson,29,D,ANA,16.72,0,2.09,16.72,0,2.09,18.81,3,6,9,0,116,67,55,0,0,33,24,73,-218,-163,495,,71.4
Michael Stone,30,D,CGY,14.66,0,0,14.66,0,0,14.66,0,8,8,0,81,80,25,0,0,26,21,77,-193,-137,475,,71.4
Brandon Dubinsky,34,"C,LW",CBJ,11.15,0,1.4,11.15,0,1.4,12.55,6,8,14,0,130,28,24,360,298,9,15,60,-286,-274,635,,71.2
Caleb Jones,23,D,EDM,14.98,0,0,14.98,0,0,14.98,3,8,11,0,47,60,15,0,0,26,21,56,-252,-196,543,,71.2
Gavin Bayreuther,26,D,DAL,16.38,0,0,16.38,0,0,16.38,6,4,10,0,27,50,25,0,0,29,23,75,-242,-186,531,,71
Jon Merrill,28,D,VGK,16.45,0,1.42,16.45,0,1.42,17.87,2,7,9,0,62,78,40,0,0,32,24,54,-234,-178,515,,71
Tage Thompson,23,"LW,RW",BUF,11.48,0.84,0,11.48,0.84,0,12.33,7,7,14,1,55,10,19,6,11,24,23,89,-269,-256,615,,70.8
Nathan Beaulieu,28,D,WPG,14.51,0,2.37,14.51,0,2.37,16.87,2,8,10,0,79,67,32,0,0,28,22,60,-239,-183,522,,70.8
Devante Smith-Pelly,28,RW,CGY,9.48,0,1.53,9.48,0,1.53,11.01,6,6,12,0,90,40,21,14,22,11,8,63,-273,-276,637,,70.6
Karson Kuhlman,25,"C,RW",BOS,11.77,0,0,11.77,0,0,11.77,4,10,14,0,82,13,30,2,7,11,7,97,-250,-253,607,,70.6
Zach Bogosian,30,D,TB,14.77,0,2.36,14.77,0,2.36,17.13,2,8,10,0,64,65,42,0,0,30,24,63,-238,-182,520,,70.6
Juuso Valimaki,22,D,CGY,14.5,0,0,14.5,0,0,14.5,2,6,8,0,44,80,30,0,0,25,20,63,-222,-166,500,,70.6
Johan Larsson,28,C,BUF,12.52,0,2.14,12.52,0,2.14,14.66,5,9,14,0,80,30,24,297,308,20,23,57,-292,-314,672,,70.4
Alexandre Fortin,23,LW,CHI,10.45,0,0,10.45,0,0,10.45,6,9,15,0,49,16,6,29,16,8,21,65,-298,-285,648,,70.4
Dean Kukan,27,D,CBJ,14.69,0.83,0,14.69,0.83,0,15.52,2,10,12,1,40,47,20,0,0,28,21,68,-252,-196,543,,70.4
Scott Harrington,27,D,CBJ,13.02,0,1.06,13.02,0,1.06,14.08,2,8,10,0,68,71,21,0,0,25,18,50,-251,-196,543,,70.4
Dmitry Kulikov,30,D,WPG,17.54,0,1.27,17.54,0,1.27,18.81,2,7,9,0,99,76,37,0,0,35,27,55,-239,-183,522,,70.4
Marc Staal,34,D,NYR,14.73,0,2.72,14.73,0,2.72,17.45,2,7,9,0,68,78,18,0,0,32,24,51,-242,-187,534,,70.4
Mirco Mueller,25,D,NJ,15.65,0,2.07,15.65,0,2.07,17.73,1,7,8,0,63,92,20,0,0,32,26,42,-239,-183,522,,70.2
Michael Raffl,32,"C,LW,RW",PHI,10.59,0,1.16,10.59,0,1.16,11.75,6,8,14,0,68,26,15,60,65,20,18,58,-299,-287,650,,70
Libor Hajek,22,D,NYR,15.39,0,0,15.39,0,0,15.39,0,9,9,0,49,83,25,0,0,27,22,49,-239,-183,522,,70
Markus Granlund,27,"LW,RW",EDM,9.69,1.26,2.58,9.69,1.26,2.58,13.53,8,5,13,2,30,21,22,69,92,11,22,72,-290,-277,638,,69.8
Mario Ferraro,22,D,SJ,15.22,0,1.1,15.22,0,1.1,16.32,2,9,11,0,117,57,29,0,0,27,21,60,-256,-200,549,,69.8
Martin Marincin,28,D,TOR,13.4,0,0,13.4,0,0,13.4,2,8,10,0,45,64,23,0,0,23,19,61,-247,-191,538,,69.8
Andrew Cogliano,33,LW,DAL,10.6,0,1.43,10.6,0,1.43,12.03,5,9,14,0,58,23,22,13,16,19,17,66,-293,-280,646,,69.4
Rasmus Sandin,20,D,TOR,13.97,0,0,13.97,0,0,13.97,1,13,14,0,64,44,13,0,0,24,20,44,-294,-238,595,,69.4
Brett Kulak,27,D,MON,16.94,0,0,16.94,0,0,16.94,2,8,10,0,64,50,17,0,0,30,24,86,-231,-175,510,,69.2
Carter Rowney,31,"C,RW",ANA,9.93,0,2.27,9.93,0,2.27,12.2,5,9,14,0,144,33,11,107,97,18,16,44,-316,-319,676,,69
Leo Komarov,34,"C,LW,RW",NYI,10.91,0,1.45,10.91,0,1.45,12.36,5,9,14,0,142,28,15,45,61,20,17,54,-307,-295,656,,69
Brendan Perlini,24,"LW,RW",DET,9.9,1.21,0,9.9,1.21,0,11.11,8,5,13,3,37,16,16,1,2,12,10,78,-292,-279,644,,69
Sami Niku,24,D,WPG,15.52,0,0,15.52,0,0,15.52,1,9,10,0,43,62,37,0,0,27,22,66,-246,-190,537,,69
Connor Carrick,26,D,NJ,14.14,0,0,14.14,0,0,14.14,2,8,10,0,49,65,34,0,0,25,20,55,-260,-204,554,,69
Philippe Myers,24,D,PHI,16.41,0,0,16.41,0,0,16.41,3,8,11,0,99,42,22,0,0,29,23,80,-252,-197,546,,68.8
Dylan Gambrell,24,"C,RW",SJ,10.43,0.8,0,10.43,0.8,0,11.23,6,8,14,1,43,26,14,173,204,18,11,51,-318,-321,678,,68.6
Justin Dowling,30,C,DAL,9.46,1.13,0,9.46,1.13,0,10.59,5,9,14,1,48,24,16,81,99,18,23,59,-308,-331,682,,68.4
Andrej Sekera,34,D,DAL,15.13,0,2.17,15.13,0,2.17,17.3,1,8,9,0,39,71,14,0,0,31,22,60,-248,-192,540,,68.4
John Moore,30,D,BOS,14.47,0,2.14,14.47,0,2.14,16.61,3,5,8,0,75,66,24,0,0,30,21,74,-239,-183,522,,68.2
Riley Nash,31,"C,LW",CBJ,10.37,0,1.44,10.37,0,1.44,11.81,5,8,13,0,55,32,10,202,214,10,25,56,-307,-294,655,,68
Patrik Berglund,32,"C,LW",BUF,11.52,0,0,11.52,0,0,11.52,7,5,12,0,70,29,17,127,93,10,11,66,-301,-288,652,,67.8
Jamie Oleksiak,28,D,DAL,14.9,0,0,14.9,0,0,14.9,3,8,11,0,128,49,37,0,0,26,21,61,-278,-223,575,,67.8
Mark Pysyk,29,"RW,D",FLA,12.53,0,1.98,12.53,0,1.98,14.51,4,6,10,0,61,55,20,0,0,25,20,59,-277,-221,574,,67.8
Nick Jensen,30,D,WSH,15.44,0,2.42,15.44,0,2.42,17.86,1,9,10,0,51,62,12,0,0,33,23,59,-265,-209,557,,67.6
